,price,name,industry,pe_ratio,pe_ratio_lyr,pb_ratio,market_cap,circulating_market_cap,roe_ttm,ROAEBITTTM,debt_to_asset_ratio,debt_to_equity_ratio,MLEV,long_debt_to_working_capital_ratio,fixed_asset_ratio,intangible_asset_ratio,net_profit_ratio,net_profit_to_total_operate_revenue_ttm,net_non_operating_income_to_total_profit,gross_income_ratio,adjusted_profit_to_total_profit,total_profit_to_cost_ratio,total_asset_turnover_rate,accounts_payable_turnover_days,account_receivable_turnover_days,inventory_turnover_days,OperatingCycle,inventory_turnover_rate,DEGM,operating_profit_growth_rate,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,net_operate_cash_flow_to_operate_income,net_operating_cash_flow_coverage,cash_rate_of_sales,net_operate_cash_flow_to_total_liability,ACCA,current_ratio,quick_ratio,super_quick_ratio,LVGI,SGI,GMI,DSRI,SGAI,DEGM_8y,maximum_margin,margin_stability
000001.XSHE,16.86,平安银行,货币金融服务,11.6922,13.1833,1.2203,3271.8379,3271.8098,0.097139,0.008626,0.922304,11.870637,0.0,,0.002855,0.003275,0.210383,0.210383,0.045073,,0.769324,,0.035874,,,,,,,0.143449,,0.009428,0.759422,7.063519,0.289204,0.016975,0.013356,,,,0.998003,1.103322,,,1.014574,,,
000002.XSHE,26.83,万科A,房地产业,7.9739,8.9788,1.8128,3032.365,2606.5801,0.227345,0.01233,0.850587,8.333111,0.387214,1.229185,0.010612,0.003066,0.162238,0.162238,-0.028751,0.379003,0.455775,0.321952,0.210874,360.807113,2.360659,1442.441292,1444.801951,0.249577,0.070566,0.259408,0.025165,0.08756,0.850361,-1.112472,0.176761,-0.005107,-0.010144,1.129656,0.414484,0.298343,1.007197,1.225537,0.909662,0.90336,0.982164,-0.012812,0.701889,8.828713
000004.XSHE,19.34,国农科技,医药制造业,-58.8015,-80.1207,16.3565,16.2411,15.9757,-0.278164,-0.03171,0.095336,0.124796,0.000492,0.010086,0.007049,0.0,-0.124971,-0.124971,0.0,0.780931,0.913823,-0.113931,1.683865,34.946506,,,,,-0.032111,-3.286826,0.718398,0.015851,1.427082,1.246305,-0.277547,-0.806861,-0.015923,7.842507,,3.495727,1.516165,2.64685,0.756495,1.089416,1.2258,0.069321,0.879537,2.781714
000005.XSHE,3.07,世纪星源,生态保护和环境治理业,17.3942,21.8381,2.1147,32.4971,32.4789,0.123839,0.019506,0.468174,0.933528,0.002352,0.01929,0.011342,0.09422,0.295892,0.295892,0.0,0.301389,1.491906,0.411386,0.219521,229.435004,,360.404394,,0.998878,-0.195318,2.081115,0.014492,0.011574,1.616282,-1.914499,0.099464,0.018956,0.013275,1.278372,0.948673,0.87448,0.95421,0.915729,1.169627,1.696053,0.880325,-0.025921,0.328281,2.368075
000006.XSHE,5.36,深振业A,房地产业,8.7939,8.2768,1.1331,72.3597,72.2693,0.128845,0.017402,0.566858,1.374846,0.301186,0.474462,0.000816,0.0,0.291333,0.291333,0.0,0.400787,0.751674,0.503697,0.186027,161.141787,,1482.548492,,0.242825,0.127888,-0.092429,0.017799,0.0495,1.946551,-0.811223,0.485404,-0.022953,-0.029011,2.161024,0.905103,0.787824,0.933861,0.848754,0.766102,0.987524,1.330487,-0.016527,0.463261,5.090537
000007.XSHE,8.96,全新好,房地产业,-15.7683,-15.8205,17.1121,31.0417,27.6817,-1.085221,-0.124882,0.482606,0.950615,0.040663,2.269538,0.180105,0.000695,-4.771334,-4.771334,0.0,0.683077,0.115109,,0.115462,126.297981,,3.200077,,112.497286,-0.05764,-83.74139,,0.025404,0.577203,7.109383,-0.539349,-0.214586,-0.08966,2.418594,2.41575,1.483653,4.206116,1.070624,0.993937,,0.752181,-0.017652,0.706438,8.910657
000008.XSHE,3.48,神州高铁,铁路、船舶、航空航天和其他运输设备制造业,27.6554,29.7712,1.3429,96.7717,90.2632,0.048559,0.011,0.31119,0.457748,0.029736,0.115423,0.039925,0.36456,0.1296,0.1296,0.0,0.514921,0.636972,0.213523,0.267493,360.864046,415.732584,227.34346,643.076044,1.583507,0.066032,-0.560512,0.095715,0.011072,0.313963,0.458597,0.03919,0.01143,-0.004743,1.855941,1.56661,1.386213,0.894665,1.100376,0.99955,1.124735,0.878357,0.130741,0.955325,7.205314
000009.XSHE,4.62,中国宝安,综合,37.7255,55.7392,2.2112,119.1597,117.5253,0.058612,0.012773,0.652047,3.688927,0.37184,0.951352,0.184836,0.05334,0.070898,0.070635,-0.007413,0.371525,0.123901,0.137579,0.453356,103.369461,126.597539,395.933112,522.53065,0.909244,0.077853,4.532185,0.091807,0.040417,1.486059,10.7911,0.148885,0.033988,0.015762,1.578081,0.833197,0.731826,1.026496,1.668047,0.911298,0.82899,0.649039,-0.000585,0.90098,17.075876
000010.XSHE,3.55,*ST美丽,土木工程建筑业,-5.8694,-3.9788,6.595,29.1048,18.5343,-1.12362,-0.02561,0.830591,8.022822,0.025177,0.803976,0.015315,0.049887,-0.343581,-0.343581,0.0,0.237678,0.273631,-0.315954,0.291255,227.908483,304.977063,614.237429,919.214492,0.586093,-1.53116,-0.716552,0.014317,0.002039,0.646713,0.404836,-0.21186,0.003823,-0.014125,1.02698,0.560987,0.493901,1.321535,0.455755,0.383869,7.136485,2.286476,,,0.688771
000011.XSHE,9.23,深物业A,房地产业,9.9727,9.2807,1.6868,55.0089,48.5906,0.169146,0.020367,0.676304,2.174207,0.290027,0.49297,0.004765,0.0,0.190961,0.190961,0.004339,0.637816,0.053793,0.572249,0.247067,141.081273,,1570.007006,,0.229298,1.771426,1.573806,0.029023,0.264531,2.332206,-1441.298609,0.620759,0.140225,0.097834,1.94121,1.09644,1.040848,0.929743,0.959565,0.832306,1.446599,0.925325,0.003006,0.551655,3.338263
